generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
0,250,120,63,356.436,341.767,917.997,191.73,16.307,73.537,0.21855,0.598,-0.0039,0.0922,0.9678,0.7587,1.6002,1.1543,0.2453,0.6093,0.7097,0.3221
1,500,120,76,429.302,465.01,972.851,206.63,22.463,80.394,0.2063,0.58755,-0.0092,0.1055,1.0023,0.7278,1.6635,1.1522,0.2487,0.6292,0.7376,0.36
2,750,120,101,561.683,578.627,949.409,231.52,33.749,77.464,0.20776,0.57519,0.0019,0.078,0.9627,0.7075,1.6882,1.1424,0.2747,0.6355,0.7803,0.4291
3,1000,120,107,634.436,686.811,954.463,231.72,41.899,78.198,0.19354,0.5487,0.0592,0.0485,0.9454,0.7469,1.7205,1.1744,0.3532,0.5932,0.7661,0.5127
4,1250,120,110,702.6,743.474,948.411,238.32,49.135,77.339,0.18615,0.53115,0.1192,0.0432,0.927,0.8112,1.6809,1.2337,0.3769,0.5055,0.765,0.5316
5,1500,120,112,704.837,766.983,976.559,237.03,49.509,80.857,0.18573,0.51174,0.1649,0.0372,0.8908,0.8462,1.6846,1.2821,0.3776,0.4788,0.7463,0.5587
6,1750,120,109,723.957,788.922,954.365,240.34,51.533,78.083,0.17762,0.47573,0.1617,0.0492,0.907,0.8584,1.6633,1.3546,0.3506,0.4433,0.7758,0.5221
7,2000,120,110,720.62,772.648,923.782,238.61,51.495,74.26,0.17059,0.43589,0.1488,0.0479,0.9292,0.879,1.6285,1.3813,0.3521,0.4191,0.8021,0.4812
8,2250,120,112,743.26,780.645,932.099,241.39,53.611,75.459,0.16027,0.39547,0.1503,0.0536,0.9388,0.8736,1.6236,1.3861,0.329,0.4181,0.8317,0.4484
9,2500,120,114,753.957,791.998,973.15,242.25,54.764,80.431,0.16279,0.4069,0.1331,0.0611,0.9482,0.8539,1.6272,1.3385,0.3192,0.4537,0.8457,0.4529
10,2750,120,112,754.58,814.827,925.068,237.48,55.385,74.421,0.16924,0.416,0.1503,0.0643,0.9831,0.8212,1.6491,1.2898,0.3174,0.4785,0.8767,0.4796
11,3000,120,113,767.297,813.824,962.917,242.41,56.379,79.152,0.16529,0.4088,0.1367,0.0706,0.9894,0.8218,1.6684,1.2664,0.3095,0.4811,0.8981,0.4611
12,3250,120,115,762.005,818.861,965.34,244.11,55.327,79.455,0.16683,0.41167,0.1469,0.0883,1.0095,0.8317,1.6699,1.2821,0.3214,0.4976,0.894,0.4636
13,3500,120,116,783.256,815.426,926.059,244.68,57.768,74.545,0.16646,0.41289,0.1569,0.0884,1.0391,0.8193,1.6869,1.2511,0.3177,0.5214,0.9125,0.4786
14,3750,120,117,785.349,819.917,960.542,244.95,57.951,78.855,0.16916,0.41227,0.1523,0.0832,0.9988,0.8328,1.6828,1.2945,0.3426,0.4964,0.9051,0.463
15,4000,120,119,794.485,816.595,975.314,249.47,58.33,80.702,0.17045,0.41747,0.1452,0.0801,0.9999,0.8455,1.7014,1.2965,0.3389,0.4935,0.9212,0.4519
16,4250,120,116,792.513,823.965,952.893,246.66,58.693,77.899,0.17286,0.41436,0.1334,0.0889,0.9574,0.8656,1.6865,1.3084,0.3397,0.4483,0.9123,0.4395
17,4500,120,116,778.878,821.142,981.125,244.39,57.344,81.428,0.16781,0.41167,0.1242,0.0723,0.9425,0.8848,1.6787,1.3367,0.3477,0.4157,0.917,0.4176
18,4750,120,115,786.281,828.411,940.373,245.23,58.356,76.334,0.17445,0.41999,0.1322,0.0636,0.9539,0.8988,1.7044,1.3201,0.3405,0.4267,0.9106,0.4131
