generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,lineage_count,lineage_effective,lineage_largest,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
0,500,217,217,565.607,654.594,1037.348,328.04,25.351,56.223,0.12524,0.19634,91,74.038,0.0461,30093,193943.071,0.29685,0.2812,0.29883,-0.01764,-0.03997,11412,89963,3209,26884,0.5073,0.1723,1.0716,0.7291,1.6756,1.3153,0.4328,1.1174,0.9504,0.4276
1,1000,310,310,542.189,583.543,1801.5,328.85,22.059,89.486,0.12685,0.2125,61,39.524,0.0903,8425,51223.584,0.13029,0.13057,0.13023,0.00033,-0.00255,11044,53619,1442,6983,0.496,0.195,1.1046,0.7143,1.6434,1.3236,0.4394,1.1156,0.9431,0.4258
2,1500,337,337,570.857,545.07,1565.511,352.32,22.959,67.357,0.12995,0.22342,39,23.913,0.0979,5866,35553.963,0.0956,0.09944,0.09489,0.00455,-0.00035,9654,51704,960,4906,0.5011,0.1981,1.1292,0.7069,1.6231,1.3273,0.4319,1.1045,0.9279,0.4173
3,2000,324,324,635.717,576.67,1564.749,396.35,25.51,68.412,0.13543,0.23164,32,17.463,0.1605,3735,22365.989,0.05971,0.06898,0.05801,0.01096,0.00769,9699,52849,669,3066,0.4884,0.2212,1.1376,0.6963,1.6343,1.3403,0.4414,1.0574,0.9264,0.4087
4,2500,353,353,633.243,589.333,1585.457,393.37,25.513,70.314,0.13665,0.23079,27,11.566,0.3343,2656,15843.137,0.04166,0.04544,0.04073,0.00471,0.00366,12587,51165,572,2084,0.4688,0.2638,1.109,0.6917,1.6821,1.309,0.4347,0.9934,0.9281,0.3869
5,3000,361,361,651.096,566.22,1572.711,407.53,26.041,64.766,0.13365,0.22432,22,6.724,0.5319,2173,12846.914,0.03527,0.04206,0.03206,0.01,0.01075,19807,41800,833,1340,0.4394,0.2952,1.089,0.7007,1.717,1.298,0.4406,0.9099,0.9308,0.4038
6,3500,372,372,685.949,582.568,1534.555,433.01,27.466,66.244,0.13018,0.21298,19,4.197,0.672,1692,10012.513,0.02671,0.03278,0.02097,0.01181,0.01164,30812,32530,1010,682,0.4118,0.3158,1.0846,0.7023,1.7282,1.3173,0.4403,0.8427,0.9338,0.4074
7,4000,418,418,610.499,458.027,1644.384,379.66,24.499,74.073,0.12529,0.20132,17,2.643,0.7847,1600,9348.196,0.02623,0.02959,0.02063,0.00896,0.00933,38126,22883,1128,472,0.3895,0.3356,1.0762,0.7037,1.752,1.2964,0.4319,0.7829,0.9293,0.4102
8,4500,420,420,633.16,490.677,1480.572,393.49,25.414,62.236,0.12703,0.19946,13,2.225,0.8238,1347,7834.433,0.02322,0.02681,0.01427,0.01254,0.01279,41408,16611,1110,237,0.3867,0.3368,1.07,0.6996,1.7608,1.3078,0.4299,0.7586,0.9321,0.4266
9,5000,449,449,587.611,479.51,1508.592,359.64,23.694,61.24,0.13132,0.20074,12,2.05,0.8463,1082,6435.153,0.01894,0.02187,0.01117,0.0107,0.01081,41472,15662,907,175,0.388,0.3387,1.0685,0.7087,1.7679,1.3138,0.4295,0.7278,0.9304,0.4308
10,5500,424,424,592.487,454.221,1484.512,361.25,23.868,67.075,0.13304,0.20757,9,2.022,0.8443,910,5339.019,0.0166,0.01906,0.00989,0.00917,0.00933,40078,14755,764,146,0.3887,0.3474,1.0804,0.7069,1.7544,1.3063,0.435,0.7166,0.9327,0.4341
