generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,lineage_count,lineage_effective,lineage_largest,kin_expected,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
0,500,700,700,600.597,703.538,1124.142,354.74,23.002,68.269,0.16893,0.3089,225,148.844,0.0557,0.01096,67978,468035.564,0.34375,0.40161,0.30573,0.09588,0.07107,78419,119334,0.98576,0.00881,595,3207.036,13,0.00301,0.00193,0.00372,-0.0018,-0.0016,0.39655,0.38986,31494,36484,0.4239,0.1426,1.0355,0.7528,1.6608,1.3299,0.4929,0.971,0.9374,0.4523
1,1000,700,700,458.147,315.737,1668.722,298.24,13.026,87.216,0.17117,0.30727,139,97.269,0.0457,0.01361,63340,441137.524,0.30733,0.40393,0.25123,0.1527,0.13928,75718,130379,1.05549,0.01086,899,4834.001,27,0.00436,0.00306,0.00512,-0.00205,-0.0017,0.36739,0.35866,30585,32755,0.4424,0.1607,1.0306,0.7569,1.6572,1.3043,0.4886,0.998,0.9383,0.433
2,1500,700,700,581.719,581.026,1438.638,388.84,16.75,48.866,0.17208,0.30661,113,74.648,0.04,0.01729,57281,408504.668,0.27979,0.42278,0.19594,0.22684,0.2205,75675,129056,1.07504,0.0089,1906,11137.517,54,0.00931,0.00958,0.00915,0.00043,0.00093,0.36963,0.35854,31994,25287,0.4528,0.1713,1.0447,0.7491,1.6741,1.2988,0.4992,1.0074,0.9402,0.4245
3,2000,700,700,519.199,476.013,1468.413,345.2,14.47,62.319,0.14145,0.22093,95,53.948,0.0871,0.02772,41164,279096.505,0.20079,0.3335,0.13049,0.20301,0.19823,70995,134012,1.12313,0.01006,3160,19049.741,88,0.01541,0.01206,0.01719,-0.00514,-0.00425,0.34631,0.32767,23677,17487,0.5029,0.1991,1.089,0.7489,1.7177,1.2932,0.4924,1.1251,0.9487,0.4268
4,2500,700,700,586.258,584.692,1399.905,402.42,15.804,50.181,0.13653,0.20904,88,49.621,0.0843,0.02848,39801,267469.736,0.19288,0.37845,0.08688,0.29157,0.29541,75019,131335,1.09787,0.00771,3294,19129.8,87,0.01596,0.01038,0.01915,-0.00877,-0.00844,0.36355,0.34489,28391,11410,0.5163,0.206,1.0909,0.7474,1.7215,1.2932,0.4809,1.1289,0.9486,0.4218
5,3000,700,700,575.955,471.108,1426.136,393.68,15.041,59.853,0.14182,0.20994,77,26.935,0.3029,0.10576,73657,507560.357,0.3394,0.60933,0.09259,0.51675,0.5128,103656,113363,1.12276,0.00548,2727,15398.036,55,0.01257,0.0071,0.01756,-0.01046,-0.01119,0.47764,0.41586,63161,10496,0.4688,0.1763,1.0922,0.7934,1.7079,1.3418,0.5348,1.1574,0.9523,0.4661
6,3500,700,700,595.884,612.611,1507.085,419.11,13.906,56.607,0.14069,0.21166,69,19.226,0.3914,0.16479,95711,671298.247,0.42142,0.65233,0.08412,0.56821,0.56993,134819,92294,1.10279,0.0048,3971,21942.037,71,0.01748,0.00754,0.03201,-0.02446,-0.02447,0.59362,0.51344,87947,7764,0.452,0.1684,1.0852,0.8173,1.6771,1.3499,0.5499,1.175,0.9436,0.4933
7,4000,700,700,623.462,527.303,1697.06,436.5,15.223,79.885,0.13404,0.20616,58,10.929,0.5286,0.28756,137929,965788.108,0.55093,0.72066,0.08132,0.63933,0.62236,183893,66463,1.12712,0.00356,5918,34703.103,69,0.02364,0.01818,0.03874,-0.02056,-0.01935,0.73453,0.62737,132524,5405,0.4305,0.1559,1.0914,0.839,1.6515,1.3822,0.5897,1.1864,0.9487,0.5279
8,4500,700,700,597.116,650.757,1665.076,409.71,15.11,90.223,0.132,0.20409,51,7.821,0.6029,0.36972,158097,1121237.247,0.59951,0.72061,0.08019,0.64041,0.6262,213844,49866,1.12286,0.00353,4436,26782.091,46,0.01682,0.01167,0.0389,-0.02723,-0.02633,0.81091,0.69998,154098,3999,0.4262,0.1395,1.0975,0.86,1.6353,1.3915,0.6144,1.2101,0.9371,0.5467
9,5000,700,700,619.195,555.697,1987.196,453.87,12.59,120.242,0.12871,0.20407,47,6.313,0.64,0.41592,174275,1229804.697,0.62791,0.71261,0.12891,0.58369,0.56135,237274,40275,1.13913,0.0043,8060,54545.998,66,0.02904,0.02661,0.04335,-0.01674,-0.01246,0.85489,0.75156,169083,5192,0.4115,0.1393,1.0935,0.8636,1.6366,1.4094,0.6187,1.2099,0.9357,0.5552
10,5500,700,700,604.684,517.779,1832.874,405.07,16.876,117.764,0.12968,0.20695,43,5.672,0.6614,0.4436,166182,1180298.512,0.61479,0.68265,0.15443,0.52822,0.50483,235580,34728,1.15,0.00496,7934,55624.853,87,0.02935,0.02785,0.03956,-0.01172,-0.00834,0.87152,0.76909,160819,5363,0.4116,0.1328,1.0884,0.8651,1.6356,1.4229,0.6298,1.2156,0.9229,0.5563
