generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,lineage_count,lineage_effective,lineage_largest,kin_expected,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,rescue_share,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
0,500,700,700,616.473,715.304,1077.055,364.85,23.791,65.351,0.1622,0.29952,233,158.308,0.0371,0.00929,64395,439240.43,0.32892,0.38403,0.29231,0.09171,0.06935,78151,117624,0.95631,0.00814,0.39919,0.39355,30012,34383,0.4358,0.1501,1.0523,0.7512,1.6747,1.333,0.4814,0.9973,0.9396,0.4456
1,1000,700,700,492.15,334.167,1671.073,321.38,14.34,81.275,0.16364,0.30137,138,89.731,0.0486,0.01578,56238,384233.712,0.28265,0.40942,0.22005,0.18937,0.17623,65776,133189,1.05641,0.00987,0.33059,0.31986,26930,29308,0.4567,0.167,1.0308,0.748,1.6797,1.3109,0.4587,1.003,0.9382,0.4266
2,1500,700,700,583.956,611.086,1461.093,394.1,16.551,44.931,0.15618,0.28931,119,62.689,0.06,0.02444,36490,240409.716,0.19013,0.24839,0.16398,0.08441,0.0675,59472,132447,1.03193,0.00995,0.30988,0.29259,14772,21718,0.4772,0.1775,1.0639,0.7474,1.6934,1.2998,0.4601,1.0255,0.9364,0.417
3,2000,700,700,545.197,471.25,1467.927,365.42,15.432,53.677,0.15356,0.2768,91,50.665,0.0771,0.02927,35609,239112.647,0.18442,0.25964,0.14965,0.10999,0.10269,61038,132044,1.05992,0.00924,0.31612,0.2955,15848,19761,0.4973,0.1885,1.0736,0.7369,1.7008,1.2967,0.4541,1.0375,0.9378,0.411
4,2500,700,700,617.823,635.318,1437.333,421.62,17.428,44.133,0.14516,0.25933,74,49.145,0.07,0.02709,27706,180997.243,0.14292,0.20316,0.1204,0.08276,0.06478,52741,141117,1.0779,0.01169,0.27206,0.25179,10715,16991,0.5109,0.2006,1.0842,0.7337,1.7114,1.2876,0.4471,1.0562,0.9404,0.4052
5,3000,700,700,559.631,512.192,1414.057,376.98,15.672,52.182,0.14062,0.25105,66,39.682,0.0986,0.0363,19918,127057.516,0.10056,0.14783,0.08203,0.0658,0.05162,55773,142301,1.11252,0.00909,0.28158,0.25452,8245,11673,0.5089,0.2023,1.1071,0.7259,1.7145,1.2826,0.4567,1.0771,0.9357,0.3986
6,3500,700,700,597.3,568.367,1520.778,405.88,16.813,59.075,0.1358,0.22827,69,40.262,0.1,0.03685,15117,93875.351,0.07805,0.11334,0.06623,0.04711,0.02969,48599,145092,1.11225,0.01039,0.25091,0.22225,5508,9609,0.5122,0.2147,1.1039,0.731,1.7184,1.276,0.4534,1.1032,0.9342,0.3908
7,4000,700,700,583.654,538.39,1401.398,395.86,16.512,52.992,0.13348,0.22238,65,37.225,0.1043,0.03962,12832,78888.453,0.06417,0.08193,0.0578,0.02412,0.0103,52778,147187,1.12118,0.00912,0.26394,0.23357,4324,8508,0.5144,0.2134,1.1097,0.7156,1.7244,1.2761,0.4565,1.0964,0.9424,0.3915
8,4500,700,700,587.221,564.724,1416.525,398.67,16.565,48.606,0.13504,0.22625,59,30.807,0.15,0.05337,11710,72209.023,0.05833,0.07865,0.05126,0.02739,0.01287,51839,148913,1.1336,0.00931,0.25822,0.2164,4077,7633,0.505,0.2029,1.1248,0.7127,1.7172,1.2771,0.4522,1.0956,0.9332,0.3891
9,5000,700,700,606.67,561.699,1363.279,411.39,17.149,47.158,0.13804,0.22999,59,30.771,0.1357,0.05213,10876,66349.317,0.05357,0.08222,0.04314,0.03908,0.02765,54184,148828,1.18527,0.00901,0.2669,0.22658,4455,6421,0.5026,0.2092,1.116,0.7149,1.7178,1.2723,0.446,1.0899,0.9278,0.3797
10,5500,700,700,591.371,566.21,1453.572,403.2,16.56,52.808,0.14101,0.23511,58,29.085,0.1486,0.0568,11546,71586.325,0.05701,0.09977,0.04222,0.05755,0.04382,52048,150473,1.16036,0.01022,0.257,0.21226,5193,6353,0.498,0.2103,1.1152,0.7218,1.7249,1.2796,0.4641,1.0916,0.9276,0.3904
11,6000,700,700,600.361,602.093,1488.867,407.52,16.91,56.802,0.14253,0.23848,54,25.508,0.1771,0.07297,10253,63107.145,0.05021,0.09058,0.03509,0.05548,0.04656,55631,148570,1.22172,0.01014,0.27243,0.21516,5039,5214,0.4851,0.2004,1.127,0.7144,1.7131,1.288,0.4503,1.0856,0.922,0.3894
