generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,lineage_count,lineage_effective,lineage_largest,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
0,500,234,234,561.483,587.251,1040.236,323.16,25.298,58.878,0.12511,0.19951,146,131.648,0.0214,30311,194912.499,0.29978,0.27305,0.29985,-0.0268,-0.02807,282,100830,77,30234,0.4991,0.1858,1.0991,0.712,1.6857,1.3321,0.4459,1.1104,0.9536,0.4407
1,1000,300,300,564.734,586.568,1609.066,345.65,22.782,77.722,0.12178,0.20995,107,84.119,0.0367,7940,48206.55,0.1291,0.11581,0.12922,-0.01341,-0.01375,544,60958,63,7877,0.5054,0.1808,1.1183,0.6854,1.646,1.3703,0.4384,1.109,0.9526,0.4283
2,1500,293,293,602.951,589.828,1438.287,373.85,24.169,59.806,0.12444,0.22113,80,55.822,0.0614,5612,33976.376,0.09283,0.10575,0.09262,0.01313,0.0133,974,59482,103,5509,0.5022,0.1972,1.1408,0.6945,1.6103,1.379,0.4572,1.1336,0.9577,0.4404
3,2000,314,314,608.816,569.922,1595.284,377.55,24.443,70.197,0.13379,0.23162,67,42.872,0.1178,4044,24305.593,0.06598,0.07574,0.06571,0.01003,0.00853,1624,59669,123,3921,0.497,0.2016,1.1567,0.6831,1.5965,1.4019,0.4498,1.1485,0.9474,0.429
4,2500,317,317,620.775,577.035,1547.46,385.35,24.94,67.985,0.1437,0.23922,62,42.254,0.1104,3450,20642.289,0.05636,0.06083,0.0562,0.00463,0.00423,2022,59196,123,3327,0.4923,0.21,1.1608,0.6743,1.5805,1.423,0.4514,1.1555,0.935,0.4192
5,3000,325,325,652.904,581.03,1543.588,407.98,26.266,67.883,0.14789,0.24827,58,39.931,0.0954,2957,17766.89,0.04814,0.04971,0.04809,0.00162,0.00167,1891,59532,94,2863,0.4946,0.2127,1.1594,0.6756,1.5653,1.4261,0.4624,1.1687,0.937,0.4263
6,3500,346,346,652.596,597.786,1529.018,409.27,26.316,62.688,0.15382,0.2548,53,35.78,0.1069,2518,15239.963,0.04252,0.05134,0.04224,0.0091,0.00953,1831,57390,94,2424,0.4761,0.2184,1.1457,0.6739,1.5562,1.4335,0.4687,1.173,0.9371,0.4064
7,4000,380,380,627.301,532.36,1609.128,391.56,25.274,70.51,0.15367,0.25608,48,31.486,0.1421,2077,12494.376,0.03485,0.04823,0.03433,0.01389,0.01314,2198,57407,106,1971,0.499,0.2242,1.1534,0.6646,1.5433,1.4649,0.4533,1.1463,0.9416,0.4276
8,4500,395,395,621.394,498.484,1514.062,389.77,24.958,61.313,0.1526,0.2605,43,26.991,0.1595,1930,11650.865,0.03309,0.04341,0.03258,0.01083,0.01073,2741,55580,119,1811,0.4914,0.2253,1.1561,0.6601,1.5287,1.4661,0.4537,1.1461,0.9403,0.4348
9,5000,407,407,615.902,494.876,1545.683,380.99,24.837,64.27,0.15867,0.26248,43,26.523,0.1744,1534,9315.61,0.02818,0.03292,0.02791,0.00501,0.00541,2916,51526,96,1438,0.5059,0.2491,1.1499,0.657,1.5281,1.4681,0.4755,1.1474,0.9422,0.438
10,5500,426,426,614.313,512.745,1593.365,379.73,24.797,67.808,0.15915,0.26576,38,21.373,0.1925,1529,9431.209,0.02815,0.03437,0.02772,0.00665,0.00644,3491,50822,120,1409,0.5231,0.2506,1.1549,0.6709,1.4935,1.4639,0.4781,1.1431,0.939,0.4476
11,6000,446,446,588.746,487.567,1443.309,360.01,23.882,63.136,0.16566,0.27574,38,19.445,0.1861,1242,7687.285,0.02383,0.02941,0.02337,0.00604,0.00618,3910,48219,115,1127,0.4999,0.2469,1.1634,0.6818,1.5187,1.4576,0.4706,1.1427,0.9313,0.4373
12,6500,418,418,582.945,490.567,1533.82,355.49,23.456,65.383,0.16822,0.28087,36,19.924,0.1435,1314,8103.308,0.02565,0.03127,0.02522,0.00605,0.0059,3678,47548,115,1199,0.4911,0.229,1.1793,0.6847,1.5316,1.4455,0.4603,1.1377,0.9241,0.4499
13,7000,409,409,610.628,603.423,1565.37,374.9,24.403,64.594,0.16957,0.28077,33,19.576,0.1614,1225,7532.891,0.02377,0.02593,0.02361,0.00233,0.002,3509,48037,91,1134,0.5058,0.2376,1.1791,0.7058,1.5316,1.439,0.4607,1.1384,0.9266,0.4587
