generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_predator,predator_strikes,predator_kills,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
0,500,700,700,548.371,647.729,1153.921,318.64,21.209,70.792,0.16228,0.27653,0.26434,700,0.55799,193,146.044,0.0186,0.00839,70966,495164.805,0.35426,0.41259,0.29995,0.11264,0.09819,96588,103734,1.01716,0.00755,689,3678.044,16,0.00344,0.00347,0.00341,6e-05,0.00034,517,917,118,244,119,0.17,0.48216,0.47778,39851,31115,0.4415,0.1433,1.0374,0.7445,1.6694,1.3435,0.4758,0.9815,0.9446,0.4529
1,1000,700,700,483.229,389.065,1716.852,314.41,14.326,82.063,0.15568,0.2608,0.25389,700,0.51284,135,96.529,0.0343,0.013,63846,425018.619,0.31015,0.38364,0.2649,0.11874,0.10362,78452,127404,1.083,0.01018,1612,8250.124,53,0.00783,0.00548,0.00928,-0.0038,-0.00347,783,783,128,243,133,0.19,0.3811,0.37295,30097,33749,0.4766,0.1519,1.0393,0.7376,1.6866,1.3294,0.4594,1.0154,0.9448,0.4357
2,1500,700,700,533.456,530.842,1426.874,358.02,14.812,50.605,0.15854,0.2609,0.24798,700,0.53197,105,64.497,0.0629,0.0221,47677,315743.045,0.24076,0.30503,0.20329,0.10175,0.08944,72930,125099,1.11236,0.01124,1918,10434.857,55,0.00969,0.00718,0.01114,-0.00396,-0.00377,727,727,123,250,129,0.18429,0.36828,0.354,22246,25431,0.4885,0.1571,1.0333,0.7418,1.6933,1.3223,0.4578,1.0121,0.9393,0.4264
3,2000,700,700,471.799,402.857,1398.254,311.28,12.991,48.446,0.16899,0.27935,0.24236,700,0.5358,87,50.843,0.0886,0.02866,33629,217094.511,0.1727,0.23081,0.14069,0.09012,0.08141,69164,125559,1.16665,0.01056,3238,18212.239,91,0.01663,0.01032,0.0201,-0.00978,-0.00837,845,845,135,251,139,0.19857,0.35519,0.33617,15964,17665,0.4938,0.1658,1.0109,0.7585,1.6775,1.2964,0.4575,1.0084,0.9306,0.4134
4,2500,700,700,509.845,463.086,1389.773,343.67,14.009,49.274,0.15758,0.25777,0.24937,700,0.53341,82,45.303,0.1043,0.03341,23573,151305.439,0.12172,0.16027,0.10109,0.05919,0.05365,67522,126138,1.21642,0.01022,4846,28290.781,155,0.02502,0.0136,0.03114,-0.01754,-0.01571,799,799,126,250,130,0.18571,0.34866,0.32615,10822,12751,0.5115,0.1887,1.0344,0.7549,1.7079,1.3049,0.4416,1.0461,0.9407,0.4065
5,3000,700,700,504.81,436.251,1433.243,339.75,13.936,52.559,0.1631,0.28077,0.24673,700,0.51854,78,36.797,0.1271,0.04529,26947,180854.955,0.14025,0.23151,0.08877,0.14273,0.14473,69294,122842,1.2096,0.00957,4301,26301.985,125,0.02239,0.01336,0.02747,-0.01411,-0.01411,782,782,136,258,139,0.19857,0.36065,0.33032,16042,10905,0.5057,0.189,1.043,0.7474,1.7104,1.322,0.4537,1.0042,0.9314,0.3858
6,3500,700,700,532.177,491.035,1423.953,359.33,14.898,47.857,0.15756,0.27179,0.24965,700,0.49266,67,34.943,0.09,0.04242,20114,131519.188,0.10631,0.15754,0.07689,0.08065,0.07541,69009,120198,1.23937,0.00979,3689,21312.578,106,0.0195,0.01219,0.02369,-0.01151,-0.00999,763,763,118,251,130,0.18571,0.36473,0.33659,10872,9242,0.5189,0.2142,1.0593,0.7456,1.7143,1.2963,0.4559,1.0454,0.9365,0.389
7,4000,700,700,500.906,439.283,1486.903,333.69,13.832,62.056,0.17846,0.33385,0.25645,700,0.53341,64,26.853,0.1557,0.06258,23298,158073.898,0.12241,0.18945,0.07986,0.1096,0.1125,73891,116443,1.26452,0.00992,4920,31022.646,179,0.02585,0.01184,0.03474,-0.0229,-0.02167,843,843,130,257,136,0.19429,0.38822,0.34738,13999,9299,0.4717,0.2082,1.0194,0.7889,1.691,1.2701,0.4835,0.954,0.9133,0.3744
8,4500,700,700,511.357,455.401,1374.287,343.86,14.227,46.299,0.17844,0.32086,0.25259,700,0.49604,58,27.8,0.1086,0.05384,33226,238020.206,0.17756,0.31852,0.08587,0.23265,0.24248,73747,113379,1.18188,0.00713,4814,29318.582,158,0.02573,0.01809,0.03069,-0.0126,-0.01228,767,767,108,257,113,0.16143,0.3941,0.35963,23490,9736,0.4839,0.2082,1.0356,0.7701,1.6945,1.2884,0.471,0.9925,0.9206,0.3681
9,5000,700,700,555.775,506.374,1398.919,375.15,14.856,46.814,0.19959,0.38791,0.29564,700,0.72273,53,16.586,0.29,0.11852,71279,542964.846,0.3723,0.64893,0.09727,0.55165,0.55155,95450,96007,1.13683,0.00549,4072,25019.925,120,0.02127,0.00858,0.03388,-0.0253,-0.02564,674,674,89,263,97,0.13857,0.49855,0.43112,61940,9339,0.3636,0.1694,0.9581,0.8311,1.6135,1.255,0.531,0.7704,0.8746,0.3533
