generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_predator,predator_strikes,predator_kills,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
0,500,700,700,559.241,645.906,1156.9,329.12,21.141,76.302,0.17012,0.2967,0.26576,700,0.64214,237,189.732,0.0157,0.00637,73443,505537.407,0.35857,0.35742,0.35857,-0.00115,0.00351,761,204061,1.0045,0.00863,112,582.727,3,0.00055,0.00131,0.00054,0.00077,0.0008,482,882,103,249,109,0.15571,0.00372,-0.00267,272,73171,0.4169,0.1351,1.0338,0.7577,1.6604,1.3404,0.496,0.9417,0.9411,0.4441
1,1000,700,700,492.55,364.373,1724.424,323.27,14.255,88.628,0.17414,0.31127,0.27298,700,0.74155,178,131.315,0.0243,0.00971,78996,557405.869,0.36836,0.37277,0.36833,0.00444,0.0049,1403,213048,1.07011,0.00882,363,1990.639,16,0.00169,0.00214,0.00169,0.00045,0.00039,741,741,108,261,112,0.16,0.00654,-0.0032,523,78473,0.4199,0.1467,1.0105,0.7575,1.6761,1.332,0.4887,0.9022,0.9399,0.4112
2,1500,700,700,513.696,478.332,1341.778,342.42,14.157,50.278,0.1889,0.34397,0.26405,700,0.70939,152,108.379,0.0314,0.01184,72329,520112.715,0.34356,0.32952,0.34369,-0.01417,-0.01378,2012,208517,1.09194,0.00926,1963,11152.47,59,0.00932,0.00895,0.00933,-0.00038,-0.00026,735,735,114,238,114,0.16286,0.00956,-0.00231,663,71666,0.4035,0.1482,0.9675,0.7778,1.6306,1.3145,0.5099,0.8146,0.9415,0.3961
3,2000,700,700,478.296,412.471,1498.766,316.4,13.115,54.393,0.18622,0.33178,0.2589,700,0.58167,118,88.003,0.0357,0.01393,68781,504915.037,0.33229,0.33029,0.33231,-0.00202,-0.00259,2413,204577,1.09953,0.00961,2202,12209.311,57,0.01064,0.00787,0.01067,-0.0028,-0.00287,795,795,101,247,103,0.14714,0.01166,-0.0023,797,67984,0.4344,0.161,0.9806,0.7731,1.6445,1.2974,0.4917,0.8759,0.9313,0.3949
4,2500,700,700,534.642,483.256,1413.968,359.0,14.852,60.049,0.19202,0.3491,0.27259,700,0.66954,107,80.355,0.0357,0.015,70320,522852.913,0.33367,0.32225,0.33383,-0.01158,-0.0119,2796,207948,1.10543,0.00808,3903,21996.567,103,0.01852,0.01896,0.01851,0.00044,0.00042,718,718,107,246,115,0.16429,0.01327,-0.00176,901,69419,0.4377,0.1795,0.9582,0.7738,1.6329,1.2703,0.5083,0.8306,0.9468,0.3771
5,3000,700,700,492.4,433.332,1408.349,325.49,13.53,52.014,0.19601,0.36086,0.27235,700,0.82741,104,74.371,0.0414,0.01681,61372,452013.601,0.29413,0.28909,0.2942,-0.00511,-0.0051,3089,205569,1.11668,0.008,4305,24199.953,123,0.02063,0.02137,0.02062,0.00075,0.00069,816,816,126,249,130,0.18571,0.0148,-0.00204,893,60479,0.4262,0.18,0.9461,0.7715,1.6234,1.2672,0.5219,0.7962,0.9427,0.3774
6,3500,700,700,504.142,436.245,1473.946,336.01,13.821,50.808,0.19038,0.35183,0.27471,700,0.85708,96,67.809,0.0471,0.01848,69990,523619.558,0.33806,0.32851,0.33822,-0.00971,-0.00916,3318,203714,1.10587,0.00607,5361,31111.472,155,0.02589,0.02441,0.02592,-0.00151,-0.00147,751,751,121,250,125,0.17857,0.01603,-0.0025,1090,68900,0.442,0.1899,0.9588,0.7607,1.6419,1.2651,0.5079,0.837,0.9406,0.3821
7,4000,700,700,537.367,447.193,1433.009,363.02,14.241,49.701,0.20278,0.38454,0.32987,700,0.92741,90,59.642,0.0571,0.02185,91491,694666.402,0.41759,0.42556,0.41744,0.00811,0.00541,4030,215061,1.11947,0.00589,5286,30403.067,121,0.02413,0.01836,0.02423,-0.00587,-0.00584,699,699,116,248,126,0.18,0.01839,-0.00353,1715,89776,0.3975,0.1723,0.8715,0.7944,1.5684,1.2523,0.5384,0.6575,0.9398,0.3684
8,4500,700,700,536.829,517.082,1584.943,366.63,13.288,71.123,0.20506,0.389,0.35041,700,0.95923,82,55.064,0.0714,0.02425,111069,848900.294,0.49203,0.49821,0.4919,0.00631,0.0055,4743,220991,1.10497,0.00437,5517,32247.276,125,0.02444,0.02614,0.0244,0.00174,0.00177,679,679,117,249,123,0.17571,0.02101,-0.00332,2363,108706,0.3641,0.1489,0.8278,0.821,1.5165,1.2485,0.575,0.5648,0.9348,0.3848
9,5000,700,700,557.941,456.023,1662.978,393.53,12.817,87.91,0.19438,0.37374,0.44865,700,0.97399,78,53.962,0.0643,0.02391,142189,1092312.759,0.59052,0.5901,0.59053,-0.00042,-0.00064,5477,235310,1.11169,0.00362,4281,25860.09,68,0.01778,0.01917,0.01775,0.00142,0.00141,564,564,102,236,107,0.15286,0.02275,-0.00119,3232,138957,0.3158,0.1328,0.7562,0.8511,1.4727,1.2608,0.5921,0.4203,0.9234,0.382
