generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_predator,predator_strikes,predator_kills,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
0,500,700,700,581.176,688.085,1091.692,342.68,21.989,62.253,0.16073,0.27562,0.26767,700,0.56687,212,141.367,0.0386,0.01044,69636,478330.108,0.34796,0.41403,0.29655,0.11748,0.0998,87579,112548,0.98896,0.00718,874,4420.958,12,0.00437,0.00306,0.00538,-0.00232,-0.00228,396,796,0,0,0,0.0,0.43762,0.43168,36260,33376,0.4443,0.1486,1.0487,0.7478,1.6718,1.3441,0.4803,0.9774,0.9482,0.4485
1,1000,700,700,506.855,383.749,1674.942,332.11,14.784,63.53,0.15524,0.2645,0.25257,700,0.55452,142,98.986,0.0343,0.01329,62132,421285.068,0.29698,0.38616,0.24436,0.1418,0.13117,77633,131581,1.04671,0.01088,1332,6774.493,40,0.00637,0.00412,0.00769,-0.00357,-0.00337,683,683,0,0,0,0.0,0.37107,0.3626,29979,32153,0.4687,0.165,1.0475,0.7524,1.6746,1.3209,0.4595,1.0133,0.9442,0.4259
2,1500,700,700,557.938,521.472,1473.876,373.17,15.723,48.961,0.13677,0.23277,0.24845,700,0.48104,118,73.352,0.0614,0.01964,49135,327575.774,0.24,0.33747,0.18662,0.15085,0.13995,72445,132283,1.07821,0.01079,1869,9866.537,47,0.00913,0.00461,0.0116,-0.00699,-0.0062,651,651,0,0,0,0.0,0.35386,0.34092,24448,24687,0.4999,0.1731,1.0613,0.7345,1.708,1.3407,0.4406,1.046,0.9498,0.4236
3,2000,700,700,527.176,460.58,1454.725,353.32,14.502,49.919,0.14016,0.23954,0.24827,700,0.54237,104,60.246,0.0543,0.02364,37049,244971.738,0.188,0.26682,0.14849,0.11833,0.10941,65793,131281,1.11955,0.01115,3173,17947.676,93,0.0161,0.00786,0.02023,-0.01237,-0.01067,698,698,0,0,0,0.0,0.33385,0.31772,17555,19494,0.5079,0.1789,1.0719,0.7287,1.7139,1.345,0.4399,1.0392,0.9461,0.4093
4,2500,700,700,536.093,469.734,1352.793,361.72,15.025,40.673,0.14576,0.24839,0.25236,700,0.50915,88,54.082,0.0471,0.02438,37599,258538.282,0.1887,0.29113,0.13301,0.15812,0.15606,70167,129091,1.10661,0.00989,4018,23361.167,124,0.02016,0.0106,0.02536,-0.01476,-0.0144,725,725,0,0,0,0.0,0.35214,0.33595,20428,17171,0.508,0.1738,1.0651,0.7201,1.7111,1.3412,0.4349,1.0339,0.9384,0.3932
5,3000,700,700,535.853,512.815,1463.564,359.76,14.883,51.867,0.14782,0.26071,0.24745,700,0.5532,75,41.68,0.07,0.03373,24884,163142.619,0.12744,0.17388,0.10321,0.07067,0.06241,66956,128306,1.19568,0.01222,5627,31892.436,156,0.02882,0.01471,0.03618,-0.02147,-0.02043,712,712,0,0,0,0.0,0.3429,0.31997,11642,13242,0.5024,0.1765,1.0662,0.7156,1.7058,1.3373,0.4326,1.0166,0.9418,0.4001
6,3500,700,700,487.764,421.864,1418.175,324.62,13.628,42.378,0.13268,0.2184,0.24575,700,0.55276,69,33.23,0.1386,0.0479,22991,153708.502,0.11662,0.15621,0.09443,0.06178,0.05736,70820,126318,1.20583,0.01174,7762,44997.354,258,0.03937,0.02556,0.04712,-0.02156,-0.02065,840,840,0,0,0,0.0,0.35924,0.327,11063,11928,0.5283,0.1904,1.0922,0.7096,1.7144,1.3388,0.423,1.0779,0.9411,0.3981
7,4000,700,700,522.781,476.391,1467.385,352.7,14.725,56.294,0.1363,0.2178,0.24646,700,0.49038,61,28.777,0.1586,0.05573,14883,94368.821,0.07741,0.10272,0.0628,0.03992,0.02923,70349,121924,1.31967,0.01424,8000,49411.379,289,0.04161,0.02552,0.05089,-0.02538,-0.02233,821,821,0,0,0,0.0,0.36588,0.32846,7226,7657,0.5279,0.1913,1.0911,0.7118,1.7239,1.3295,0.4272,1.078,0.9359,0.3767
8,4500,700,700,490.487,454.956,1330.431,329.67,13.543,45.466,0.14441,0.22515,0.24514,700,0.48516,52,26.043,0.1443,0.05767,13832,87873.539,0.07346,0.09873,0.05812,0.04061,0.03084,71135,117161,1.38968,0.012,8389,52894.311,298,0.04455,0.03018,0.05328,-0.0231,-0.01988,885,885,0,0,0,0.0,0.37778,0.3397,7023,6809,0.541,0.1892,1.0905,0.7104,1.7381,1.3208,0.4234,1.0726,0.935,0.3776
9,5000,700,700,496.699,443.537,1444.912,334.23,13.675,51.995,0.14846,0.23039,0.24222,700,0.47196,58,24.76,0.1857,0.068,12949,81690.656,0.07105,0.08758,0.06125,0.02633,0.01483,67845,114403,1.37299,0.01351,8518,54545.489,292,0.04674,0.03274,0.05504,-0.02231,-0.01858,830,830,0,0,0,0.0,0.37227,0.32647,5942,7007,0.535,0.2097,1.1018,0.7073,1.7098,1.3048,0.4171,1.0745,0.9357,0.3806
