generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_predator,predator_strikes,predator_kills,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
0,500,700,700,600.899,712.008,1142.585,354.32,23.223,69.421,0.17169,0.2962,0.25612,700,0.60013,236,195.335,0.0157,0.00604,67021,460444.344,0.33916,0.35065,0.33912,0.01153,0.01307,770,196837,0.98499,0.0085,825,4162.2,14,0.00417,0.0026,0.00418,-0.00158,-0.00168,389,789,0,0,0,0.0,0.0039,-0.00216,270,66751,0.425,0.1438,1.016,0.7684,1.646,1.3302,0.4865,0.9451,0.9426,0.4463
1,1000,700,700,461.96,340.677,1644.758,300.41,13.145,54.706,0.14366,0.21718,0.24705,700,0.51545,201,149.868,0.0243,0.00858,56364,369069.65,0.2774,0.28372,0.27737,0.00636,0.0026,1149,202037,1.05265,0.01011,1132,5747.304,33,0.00557,0.0087,0.00555,0.00315,0.00315,704,704,0,0,0,0.0,0.00565,-0.00295,326,56038,0.4993,0.1771,1.0553,0.7633,1.6923,1.3173,0.4498,1.0708,0.946,0.4487
2,1500,700,700,597.468,605.753,1329.669,403.4,16.79,44.844,0.14855,0.23865,0.25454,700,0.57178,172,121.786,0.0443,0.0113,55472,375919.803,0.28001,0.29486,0.27989,0.01498,0.01313,1655,196450,1.06617,0.01031,1579,8246.395,32,0.00797,0.01088,0.00795,0.00293,0.00279,571,571,0,0,0,0.0,0.00835,-0.00298,488,54984,0.5058,0.1848,1.0594,0.7612,1.7044,1.3149,0.4677,1.0445,0.9452,0.4359
3,2000,700,700,506.698,456.081,1452.955,335.56,14.256,51.749,0.14157,0.21536,0.24637,700,0.5241,135,93.004,0.0443,0.01431,37352,243685.056,0.19019,0.18297,0.19028,-0.0073,-0.0087,2279,194110,1.08178,0.01023,1909,11417.887,65,0.00972,0.00921,0.00973,-0.00051,-0.00045,713,713,0,0,0,0.0,0.0116,-0.00274,417,36935,0.5295,0.1879,1.0697,0.7446,1.7324,1.32,0.442,1.0718,0.9437,0.4153
4,2500,700,700,593.851,585.304,1451.388,403.72,16.813,53.7,0.1337,0.19976,0.24419,700,0.48633,114,76.06,0.0543,0.01806,27190,171139.563,0.13942,0.14236,0.13937,0.00299,0.00164,2866,192163,1.09426,0.0114,2446,13886.983,67,0.01254,0.01535,0.0125,0.00285,0.00294,611,611,0,0,0,0.0,0.0147,-0.00343,408,26782,0.5274,0.1949,1.0771,0.7332,1.7354,1.3091,0.4417,1.0867,0.9442,0.4047
5,3000,700,700,505.439,457.477,1423.583,338.79,13.923,48.174,0.1361,0.20536,0.24377,700,0.53389,101,69.726,0.0471,0.01849,19407,121554.844,0.10056,0.10503,0.10049,0.00455,0.00464,3199,189786,1.18896,0.01139,3939,21712.379,105,0.02041,0.02063,0.02041,0.00022,0.00029,754,754,0,0,0,0.0,0.01658,-0.00195,336,19071,0.5367,0.2019,1.0833,0.7208,1.7375,1.2934,0.449,1.0994,0.9407,0.3863
6,3500,700,700,534.1,488.208,1437.956,361.45,14.877,45.729,0.14253,0.21175,0.24486,700,0.54649,91,62.257,0.0471,0.02077,17908,113954.088,0.09219,0.11312,0.09179,0.02133,0.0207,3642,190600,1.24173,0.01072,6062,33525.299,164,0.03121,0.0346,0.03114,0.00345,0.00352,740,740,0,0,0,0.0,0.01875,-0.00206,412,17496,0.5423,0.2048,1.0779,0.7215,1.7397,1.2959,0.4447,1.0989,0.9376,0.3839
7,4000,700,700,516.897,477.537,1423.42,348.36,14.41,46.295,0.1409,0.21707,0.24329,700,0.54051,84,54.822,0.0486,0.02367,15511,97061.747,0.07964,0.08899,0.07943,0.00956,0.0088,4270,190496,1.31258,0.01309,7891,44625.442,226,0.04052,0.03934,0.04054,-0.0012,-0.00082,800,800,0,0,0,0.0,0.02192,-0.00179,380,15131,0.5394,0.2209,1.0909,0.723,1.7369,1.2884,0.4633,1.101,0.9383,0.3718
8,4500,700,700,539.109,501.505,1449.232,364.52,15.27,49.32,0.14352,0.22386,0.24105,700,0.50594,78,49.307,0.0557,0.02647,13138,82000.688,0.06782,0.07481,0.06764,0.00717,0.00703,4812,188911,1.29868,0.01264,7486,43106.646,229,0.03864,0.03824,0.03865,-0.00042,-0.00039,743,743,0,0,0,0.0,0.02484,-0.00167,360,12778,0.5391,0.2223,1.0849,0.7179,1.7443,1.2891,0.4561,1.0994,0.934,0.3714
9,5000,700,700,488.779,440.104,1377.412,328.8,13.604,44.155,0.14553,0.23056,0.24072,700,0.54785,65,43.261,0.0643,0.02859,11617,71850.723,0.05857,0.06741,0.05833,0.00908,0.00948,5281,193053,1.37532,0.01257,8228,50033.795,277,0.04149,0.0409,0.0415,-0.0006,-0.00077,824,824,0,0,0,0.0,0.02663,-0.00202,356,11261,0.5278,0.2184,1.0908,0.7125,1.7532,1.2889,0.4405,1.0871,0.9288,0.3717
