generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_starved,death_old_age,death_predator,predator_strikes,predator_kills,repro_blocked,forage_per_capita,share_per_capita,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
0,500,785,785,502.735,490.609,901.301,362.74,13.938,44.798,0.17369,0.28852,0.1467,785,0.43242,218,156.104,0.0268,0.00842,36849,236124.435,0.09137,0.18224,0.02202,0.16021,0.16081,174565,228709,2.36851,0.0946,2770,21459.122,169,0.00687,0.01199,0.00296,0.00903,0.00887,1763,2248,1400,0,0,0,0,0,0.058664,0.601591,0.0,0.43287,0.42805,31812,5037,0.6193,0.1663,0.9647,0.6913,1.5309,1.4248,0.3783,1.3117,0.7232,0.3134
1,1000,738,738,547.197,358.949,1597.989,391.2,14.76,62.45,0.1811,0.29365,0.22296,738,0.49988,157,109.965,0.0339,0.01215,6918,42410.682,0.03726,0.12616,0.00811,0.11805,0.1147,45847,139829,2.40874,0.09439,1098,7270.586,53,0.00591,0.01106,0.00423,0.00683,0.00671,740,693,378,177,0,0,0,0,0.03541,0.114934,0.0,0.24692,0.23766,5784,1134,0.6168,0.179,0.9476,0.6882,1.5221,1.4307,0.3752,1.317,0.7188,0.3164
2,1500,910,910,496.932,452.492,1243.743,350.08,13.745,38.817,0.18912,0.30304,0.19272,910,0.48038,138,84.564,0.0418,0.01661,8442,52527.872,0.03999,0.10427,0.00877,0.0955,0.08954,69003,142115,2.40056,0.08185,1922,12951.794,85,0.0091,0.014,0.00673,0.00727,0.00733,801,973,345,255,0,0,0,0,0.031557,0.115446,0.0,0.32685,0.31548,7195,1247,0.6095,0.1877,0.9536,0.6859,1.4959,1.4517,0.3692,1.3157,0.73,0.3134
3,2000,700,700,552.989,558.546,1385.04,397.75,14.722,38.923,0.19988,0.31622,0.23452,700,0.45677,102,61.2,0.0514,0.02266,4796,29291.585,0.02459,0.07678,0.00701,0.06977,0.06701,49141,145890,2.37183,0.06505,2165,15390.205,114,0.0111,0.01728,0.00902,0.00826,0.00817,827,617,321,276,0,0,0,0,0.037153,0.08369,0.0,0.25197,0.23462,3773,1023,0.5966,0.1889,0.9761,0.691,1.5144,1.4364,0.3565,1.3051,0.7386,0.3105
4,2500,766,766,504.367,479.797,1327.16,356.84,13.684,37.5,0.20671,0.32592,0.20996,766,0.4691,86,45.594,0.0679,0.03181,6331,39274.4,0.03087,0.07576,0.0063,0.06946,0.06484,72548,132540,2.37981,0.07139,2948,21707.474,178,0.01437,0.0158,0.0136,0.0022,0.00253,832,898,273,278,0,0,0,0,0.037311,0.102544,0.0,0.35374,0.33251,5496,835,0.5998,0.1824,0.9938,0.6929,1.5114,1.4422,0.3411,1.3159,0.7444,0.3148
5,3000,721,721,554.776,508.439,1325.037,399.77,14.713,37.593,0.2151,0.33513,0.21277,721,0.49136,76,38.213,0.0985,0.04139,4899,29836.377,0.02367,0.06319,0.00576,0.05743,0.05419,64551,142403,2.32879,0.05573,2491,17622.25,120,0.01204,0.0121,0.01201,9e-05,0.00028,768,723,300,245,0,0,0,0,0.037945,0.082764,0.0,0.31191,0.2822,4079,820,0.5959,0.1825,1.0261,0.6864,1.5226,1.4238,0.3161,1.3239,0.7362,0.3217
6,3500,793,793,498.608,438.864,1320.662,352.93,13.432,38.148,0.22615,0.34393,0.20698,793,0.48582,63,31.084,0.1538,0.05562,4459,27924.99,0.02278,0.05207,0.00513,0.04694,0.04365,73610,122099,2.34019,0.04194,2285,15447.461,104,0.01168,0.01145,0.01181,-0.00036,-0.00065,720,792,234,282,0,0,0,0,0.035211,0.070429,0.0,0.37612,0.33938,3833,626,0.5836,0.1921,1.0547,0.6763,1.5398,1.4223,0.3054,1.3112,0.7518,0.3379
7,4000,736,736,564.094,556.262,1285.035,408.08,14.805,37.755,0.22845,0.35412,0.21197,736,0.48889,57,25.71,0.1875,0.07114,3731,23201.284,0.01862,0.04325,0.00491,0.03834,0.03677,71624,128797,2.32028,0.03618,2775,19018.244,148,0.01385,0.01321,0.0142,-0.00099,-0.00102,723,666,248,236,0,0,0,0,0.036759,0.063047,0.0,0.35737,0.30815,3098,633,0.5771,0.1897,1.0899,0.683,1.5759,1.4016,0.2977,1.306,0.7605,0.3371
8,4500,713,713,505.052,452.974,1347.004,359.5,13.407,35.799,0.2296,0.36391,0.22426,713,0.44108,53,20.147,0.2272,0.09627,3557,22322.326,0.01891,0.03973,0.00527,0.03446,0.03169,74447,113607,2.30347,0.03458,3515,24786.143,178,0.01869,0.01761,0.0194,-0.00179,-0.00105,794,771,241,287,0,0,0,0,0.038272,0.062615,0.0,0.39588,0.33153,2958,599,0.5565,0.1862,1.119,0.6848,1.611,1.3731,0.3099,1.3074,0.7655,0.3471
9,5000,695,695,539.16,506.372,1326.514,385.68,14.386,41.543,0.23187,0.36867,0.21668,695,0.50542,45,15.803,0.3065,0.13329,3664,22604.495,0.01918,0.03825,0.0039,0.03436,0.03165,84988,106010,2.31371,0.05186,4177,31508.31,273,0.02187,0.02204,0.02173,0.0003,0.00148,811,793,247,214,0,0,0,0,0.03979,0.065049,0.0,0.44497,0.35961,3251,413,0.5459,0.1877,1.1767,0.6994,1.6532,1.3807,0.3044,1.2802,0.7825,0.3549
