generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_starved,death_old_age,death_predator,predator_strikes,predator_kills,repro_blocked,forage_per_capita,share_per_capita,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
0,500,743,743,514.156,499.738,865.777,382.98,13.634,35.892,0.16765,0.27907,0.13568,743,0.48748,250,197.269,0.0148,0.00614,14715,90497.711,0.03184,0.13845,0.03135,0.1071,0.10693,2138,459973,2.28928,0.06966,1181,8701.233,53,0.00256,0.00608,0.00254,0.00354,0.00358,1767,2210,1474,0,0,0,0,0,0.062032,0.243601,0.0,0.00463,-0.00152,296,14419,0.6111,0.1735,0.9636,0.6907,1.5385,1.4173,0.3977,1.3155,0.7201,0.3218
1,1000,879,879,482.401,312.98,1511.67,342.01,12.858,57.695,0.17081,0.2888,0.20378,879,0.49534,196,138.602,0.0239,0.00931,2995,18213.287,0.01592,0.08263,0.01546,0.06718,0.06755,1307,186786,2.26105,0.03306,865,5773.543,48,0.0046,0.00383,0.0046,-0.00078,-0.00078,655,791,331,156,0,0,0,0,0.030727,0.041441,0.0,0.00695,-0.00238,108,2887,0.6066,0.1745,0.9683,0.6944,1.5345,1.4012,0.3993,1.3146,0.7232,0.3271
2,1500,890,890,562.712,583.509,1227.285,408.9,14.693,35.598,0.17098,0.29307,0.19058,890,0.47634,164,112.325,0.0337,0.01158,2547,15278.638,0.01104,0.06017,0.01059,0.04959,0.0495,2094,228703,2.28026,0.04476,1445,9769.063,72,0.00626,0.0148,0.00618,0.00862,0.0086,659,670,227,223,0,0,0,0,0.031236,0.034334,0.0,0.00907,-0.00254,126,2421,0.6027,0.1726,0.9652,0.7007,1.561,1.3841,0.4089,1.3237,0.725,0.3238
3,2000,727,727,515.061,448.266,1388.17,367.51,13.547,40.86,0.17386,0.29894,0.23613,727,0.49722,131,92.497,0.0344,0.01397,1763,10706.849,0.00917,0.07064,0.00847,0.06217,0.0623,2166,190155,2.29038,0.03176,2080,13748.77,114,0.01082,0.01431,0.01078,0.00354,0.00349,777,614,183,351,0,0,0,0,0.035931,0.029455,0.0,0.01126,-0.00275,153,1610,0.5922,0.1712,0.9587,0.7035,1.573,1.3804,0.4134,1.3164,0.7151,0.3211
4,2500,803,803,527.62,517.402,1366.771,381.12,13.754,38.405,0.17588,0.30558,0.19605,803,0.41653,119,85.795,0.0299,0.01458,2045,12402.601,0.0092,0.06481,0.00846,0.05634,0.05626,2901,219409,2.21111,0.01271,2598,17619.55,149,0.01169,0.01655,0.01162,0.00492,0.00491,711,787,210,249,0,0,0,0,0.035675,0.030891,0.0,0.01305,-0.00155,188,1857,0.5869,0.1685,0.9595,0.7137,1.5992,1.363,0.4034,1.3181,0.7189,0.3124
5,3000,720,720,541.598,504.997,1381.804,389.97,14.113,41.199,0.18183,0.31216,0.21935,720,0.39094,109,79.508,0.0361,0.01573,1571,9535.817,0.00782,0.049,0.00723,0.04177,0.04185,2837,198153,2.2791,0.03947,2164,14399.187,100,0.01077,0.01304,0.01073,0.00231,0.00231,690,607,181,304,0,0,0,0,0.037108,0.026488,0.0,0.01412,-0.00164,139,1432,0.5842,0.1734,0.9731,0.7101,1.6084,1.3638,0.3925,1.3149,0.7222,0.311
6,3500,772,772,531.596,505.855,1366.662,384.31,13.782,39.91,0.18746,0.31956,0.19643,772,0.44331,98,71.504,0.0518,0.01755,1671,10212.221,0.00787,0.04044,0.00732,0.03311,0.03309,3487,208950,2.22972,0.01376,2448,16905.296,107,0.01152,0.01721,0.01143,0.00578,0.00582,650,702,171,276,0,0,0,0,0.036325,0.026457,0.0,0.01641,-0.00116,141,1530,0.5997,0.1742,0.975,0.716,1.6195,1.3493,0.3864,1.3074,0.7333,0.3175
7,4000,739,739,529.79,465.826,1318.351,381.69,13.801,40.682,0.19057,0.32645,0.21899,739,0.45875,95,67.739,0.0379,0.01822,1546,9464.905,0.00799,0.05404,0.00723,0.04681,0.04683,3146,190409,2.28233,0.02911,2766,20083.609,170,0.01429,0.02034,0.01419,0.00615,0.00614,691,658,162,258,0,0,0,0,0.036273,0.025615,0.0,0.01625,-0.002,170,1376,0.5896,0.1816,0.9748,0.7159,1.627,1.3452,0.3838,1.3116,0.7411,0.3157
8,4500,786,786,509.579,481.998,1358.608,365.28,13.402,41.097,0.19409,0.33211,0.20827,786,0.47101,88,61.661,0.0445,0.02018,1700,10362.488,0.00843,0.04622,0.00774,0.03848,0.03847,3613,198102,2.27499,0.02,2847,23181.34,202,0.01411,0.01688,0.01406,0.00282,0.00277,714,761,152,260,0,0,0,0,0.035469,0.026368,0.0,0.01791,-0.00232,167,1533,0.5832,0.1769,0.9815,0.7243,1.6429,1.339,0.3795,1.3057,0.7508,0.3092
9,5000,761,761,539.177,489.317,1393.781,389.53,14.04,43.851,0.19714,0.33739,0.20976,761,0.37947,88,58.997,0.0434,0.02095,1354,8185.977,0.00664,0.03776,0.006,0.03177,0.03176,4131,199831,2.28983,0.02733,2948,23775.012,212,0.01445,0.01816,0.01438,0.00378,0.00383,709,684,178,245,0,0,0,0,0.035944,0.021514,0.0,0.02025,-0.00071,156,1198,0.594,0.1885,0.9892,0.7206,1.6457,1.3172,0.3842,1.293,0.775,0.2977
