generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,genetic_r,genetic_r_pairs,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,bc_ratio_fit,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_starved,death_old_age,death_predator,predator_strikes,predator_kills,repro_blocked,forage_per_capita,share_per_capita,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
0,500,724,724,347.934,305.411,880.056,233.77,9.786,38.027,0.22378,0.3666,0.69686,724,0.7579,161,122.513,0.0262,0.00999,0.8412,633,2244,5166.99,0.01294,0.01406,0.0047,0.00936,0.00938,152585,20839,1.0,2.67835,0.01025,1156,7516.565,50,0.00667,0.00565,0.01411,-0.00846,-0.00882,392,816,319,0,0,0,0,0,0.023744,0.014273,0.0,0.87984,0.87863,2146,98,0.5097,0.2052,1.5121,0.7427,1.8579,1.5187,0.2642,1.1029,0.8138,0.3595
1,1000,657,657,526.493,495.583,1489.677,383.77,13.66,54.371,0.22139,0.36325,0.60667,657,0.67101,125,91.362,0.0381,0.01397,0.67137,475,2452,5575.991,0.00858,0.01008,0.00375,0.00633,0.00574,217974,67739,1.0,2.84386,0.03834,2027,13152.541,129,0.00709,0.00457,0.01521,-0.01063,-0.0106,795,728,541,81,0,0,0,0,0.033343,0.016974,0.0,0.76291,0.75955,2198,254,0.5154,0.1966,1.5077,0.7484,1.8723,1.5259,0.2644,1.0771,0.8051,0.3365
2,1500,595,595,465.842,387.344,1351.895,335.24,11.881,40.194,0.22198,0.36584,0.63771,595,0.70005,108,73.169,0.042,0.01815,0.77767,428,2415,5553.646,0.01106,0.01319,0.00473,0.00846,0.00766,163333,54937,1.0,2.7124,0.01408,1499,10209.351,109,0.00687,0.00504,0.01231,-0.00727,-0.00737,723,661,346,218,0,0,0,0,0.033482,0.018668,0.0,0.74831,0.74365,2155,260,0.509,0.2178,1.5008,0.7362,1.8779,1.5302,0.2768,1.0916,0.7997,0.3466
3,2000,659,659,476.042,421.358,1342.105,343.24,12.182,37.947,0.2215,0.36716,0.61896,659,0.6749,93,61.341,0.047,0.02098,0.74809,475,2798,6387.089,0.01153,0.01307,0.00655,0.00653,0.00549,185180,57592,1.0,2.73542,0.02466,1236,8186.148,77,0.00509,0.00326,0.01097,-0.00771,-0.00766,642,706,369,146,0,0,0,0,0.031418,0.019384,0.0,0.76277,0.75769,2421,377,0.5049,0.2176,1.4994,0.7222,1.8832,1.5379,0.2693,1.0874,0.8037,0.3659
4,2500,617,617,498.465,448.594,1306.183,362.67,12.65,40.605,0.22145,0.37136,0.6218,617,0.69265,75,50.462,0.0616,0.02528,0.72996,440,3045,6990.358,0.013,0.0156,0.00527,0.01033,0.00978,175355,58832,1.0,2.7541,0.03153,1162,8358.651,87,0.00496,0.00258,0.01205,-0.00947,-0.00952,696,654,390,178,0,0,0,0,0.032974,0.022659,0.0,0.74878,0.74227,2735,310,0.4908,0.2108,1.4981,0.7119,1.8977,1.5387,0.2719,1.0825,0.8025,0.3555
5,3000,652,652,473.051,401.309,1336.422,341.23,12.089,41.861,0.227,0.37214,0.62494,652,0.68981,69,43.329,0.0844,0.03186,0.75204,484,3296,7634.811,0.01434,0.0164,0.00714,0.00925,0.00875,178774,51099,1.0,2.75519,0.02761,1061,7430.73,64,0.00462,0.00331,0.0092,-0.00589,-0.00597,645,680,356,185,0,0,0,0,0.031218,0.02342,0.0,0.77771,0.77039,2931,365,0.5233,0.2114,1.4665,0.7298,1.8739,1.5681,0.3098,1.0879,0.7943,0.3337
6,3500,654,654,487.606,441.353,1335.202,356.15,12.22,41.941,0.2269,0.37469,0.61578,654,0.67048,62,38.29,0.0765,0.03551,0.78046,469,2733,6327.558,0.01093,0.01271,0.00438,0.00833,0.00777,196764,53233,1.0,2.83443,0.04501,862,6083.689,55,0.00345,0.00239,0.00736,-0.00498,-0.00495,679,681,403,180,0,0,0,0,0.031858,0.01935,0.0,0.78707,0.77923,2500,233,0.5261,0.1988,1.4681,0.7288,1.892,1.5622,0.309,1.0584,0.7943,0.3463
7,4000,644,644,486.419,432.352,1346.501,354.23,12.246,37.196,0.22978,0.37804,0.61198,644,0.65364,60,33.944,0.0823,0.04073,0.72889,457,2847,6494.803,0.01191,0.01351,0.00685,0.00666,0.0053,181556,57527,1.0,2.82267,0.03758,1131,7769.687,75,0.00473,0.00282,0.01076,-0.00794,-0.00807,688,678,376,187,0,0,0,0,0.032491,0.02017,0.0,0.75938,0.74917,2453,394,0.5397,0.2017,1.4903,0.7215,1.8974,1.5721,0.3089,1.047,0.7864,0.3622
8,4500,633,633,480.017,414.24,1395.47,350.17,12.006,42.14,0.23855,0.38463,0.62527,633,0.65828,48,27.476,0.0916,0.04878,0.75952,450,2523,5928.054,0.01086,0.01066,0.01156,-0.00089,-0.0018,180886,51393,1.0,2.79852,0.01744,1081,7458.25,68,0.00465,0.00314,0.00998,-0.00684,-0.00689,662,651,371,175,0,0,0,0,0.032027,0.01873,0.0,0.77874,0.7674,1929,594,0.5434,0.201,1.4976,0.7247,1.8929,1.5897,0.3194,1.0361,0.7854,0.3873
9,5000,660,660,483.047,434.27,1360.354,351.32,12.175,40.089,0.24462,0.39055,0.61621,660,0.67962,50,25.542,0.1288,0.05595,0.76958,462,2366,5492.036,0.01039,0.01111,0.00777,0.00335,0.00239,178540,49184,1.0,2.87443,0.04396,1101,7677.895,72,0.00483,0.00311,0.0111,-0.00799,-0.00802,625,652,324,186,0,0,0,0,0.031251,0.016643,0.0,0.78402,0.77122,1984,382,0.5466,0.201,1.4951,0.72,1.9262,1.5728,0.3177,1.0178,0.7755,0.3889
