generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,genetic_r,genetic_r_pairs,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,bc_ratio_fit,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_starved,death_old_age,death_predator,predator_strikes,predator_kills,repro_blocked,forage_per_capita,share_per_capita,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
0,500,739,739,345.894,300.547,946.854,232.35,9.776,46.196,0.23415,0.37498,0.68475,739,0.74366,190,146.216,0.023,0.00841,0.79321,615,1596,3498.771,0.00911,0.0181,0.00907,0.00903,0.0089,884,174286,0.99884,2.70297,0.01566,1479,9200.879,66,0.00844,0.01131,0.00843,0.00288,0.00284,424,863,338,0,0,0,0,0,0.024042,0.009469,0.0,0.00505,-0.00339,16,1580,0.5737,0.2044,1.46,0.7525,1.8452,1.5145,0.2977,1.0879,0.7977,0.3518
1,1000,660,660,518.632,464.776,1455.942,377.07,13.323,46.887,0.22899,0.37201,0.58926,660,0.63222,159,122.9,0.0258,0.00989,0.6908,482,1624,3646.43,0.00572,0.00973,0.00569,0.00403,0.00411,2159,281594,0.99817,2.75891,0.0314,2339,14773.246,143,0.00824,0.01621,0.00818,0.00803,0.008,789,710,518,82,0,0,0,0,0.034431,0.01105,0.0,0.00761,-0.0023,21,1603,0.5855,0.1965,1.4375,0.7603,1.8461,1.4951,0.3169,1.0836,0.7983,0.343
2,1500,604,604,452.529,377.332,1278.885,325.3,11.533,33.054,0.22758,0.36443,0.63854,604,0.69673,130,100.531,0.0348,0.01206,0.75088,452,1919,4464.836,0.00904,0.015,0.00899,0.00601,0.00605,1933,210263,1.0,2.65372,0.01303,1892,11312.048,121,0.00892,0.01397,0.00887,0.0051,0.00505,731,675,346,209,0,0,0,0,0.032401,0.014784,0.0,0.00911,-0.00299,29,1890,0.5712,0.204,1.471,0.7585,1.8611,1.5128,0.3123,1.0617,0.803,0.3602
3,2000,658,658,478.334,429.647,1333.398,345.9,12.241,35.165,0.22828,0.3639,0.61723,658,0.67082,120,85.595,0.0395,0.01476,0.67151,466,2237,5354.875,0.00939,0.01143,0.00936,0.00206,0.00208,2888,235355,0.98827,2.66406,0.03263,1732,10427.937,103,0.00727,0.01039,0.00723,0.00316,0.00315,669,723,363,154,0,0,0,0,0.031607,0.016276,0.0,0.01212,-0.00268,33,2204,0.5746,0.202,1.4674,0.7634,1.8686,1.5169,0.3142,1.041,0.813,0.3608
4,2500,661,661,502.885,455.242,1376.713,366.21,12.73,41.757,0.22215,0.35933,0.60641,661,0.67025,106,76.801,0.0424,0.01637,0.73977,468,2348,5386.216,0.00974,0.01355,0.00969,0.00386,0.00385,3321,237778,1.0,2.74493,0.02087,1295,7879.466,81,0.00537,0.00723,0.00535,0.00188,0.00192,671,674,384,161,0,0,0,0,0.031779,0.016297,0.0,0.01377,-0.00264,45,2303,0.5683,0.1829,1.4608,0.7684,1.8735,1.5226,0.3118,1.0212,0.8116,0.3675
5,3000,650,650,488.391,430.387,1348.476,355.82,12.292,40.114,0.21415,0.35867,0.60912,650,0.67983,94,67.458,0.0369,0.0181,0.73124,468,2182,5237.942,0.0092,0.00978,0.00919,0.00059,0.00051,3783,233394,1.0,2.73406,0.02108,1522,9472.833,87,0.00642,0.00819,0.00639,0.00181,0.00182,686,675,360,190,0,0,0,0,0.032258,0.016117,0.0,0.01595,-0.00219,37,2145,0.5604,0.1827,1.4717,0.7653,1.8896,1.5146,0.306,0.9911,0.814,0.3731
6,3500,615,615,488.664,418.982,1349.7,353.36,12.428,43.514,0.2156,0.36626,0.6248,615,0.68921,88,60.618,0.0407,0.02047,0.81501,431,1997,4683.76,0.00878,0.01429,0.00868,0.0056,0.00571,4060,223341,1.0,2.82602,0.02203,1288,8112.334,82,0.00566,0.00739,0.00563,0.00176,0.00166,682,647,388,176,0,0,0,0,0.032503,0.015232,0.0,0.01785,-0.00267,58,1939,0.5837,0.1765,1.4612,0.7717,1.8771,1.5017,0.3007,0.9801,0.8247,0.3816
7,4000,670,670,485.474,418.051,1341.991,351.36,12.333,40.2,0.21426,0.3686,0.61183,670,0.68246,81,58.632,0.0433,0.02064,0.74115,477,1955,4546.242,0.00828,0.0089,0.00827,0.00063,0.00082,4492,231549,1.0,2.82015,0.01279,984,6369.666,71,0.00417,0.00534,0.00415,0.0012,0.00119,642,697,328,185,0,0,0,0,0.031171,0.013571,0.0,0.01903,-0.00164,40,1915,0.5991,0.18,1.4538,0.7718,1.8683,1.5123,0.3007,0.9652,0.8285,0.388
8,4500,632,632,520.515,463.834,1375.728,380.59,13.069,41.088,0.21953,0.37621,0.61068,632,0.66401,72,53.144,0.0538,0.02294,0.7651,435,1696,3979.266,0.00707,0.00998,0.00701,0.00297,0.00301,4811,235180,0.99827,2.83613,0.02241,1162,7178.467,82,0.00484,0.00769,0.00478,0.00291,0.00287,681,643,363,184,0,0,0,0,0.032907,0.012593,0.0,0.02005,-0.00296,48,1648,0.615,0.1762,1.4465,0.7787,1.8609,1.508,0.296,0.9522,0.8204,0.3775
9,5000,633,633,482.696,430.352,1355.114,351.28,12.102,44.067,0.21792,0.37913,0.61664,633,0.67335,72,50.071,0.0664,0.02524,0.73357,473,1604,3790.08,0.00689,0.00653,0.0069,-0.00037,-0.00031,5208,227433,1.0,2.73625,0.03117,1195,7956.022,83,0.00514,0.00691,0.0051,0.00182,0.00179,666,667,328,212,0,0,0,0,0.032506,0.011975,0.0,0.02239,-0.00293,34,1570,0.6279,0.1624,1.4591,0.7961,1.8571,1.5164,0.2916,0.9183,0.8457,0.3684
