kosul               r(genom)  b/c enerji  b/c fit*     b_hat     c_hat  b/c OLCULEN    r*b/c
BC2_taban100          0.7449       0.787     2.046   0.00833   0.01305        0.638    0.475
BC4_taban100_R1       0.6179       1.000     2.547   0.00858   0.00958        0.895    0.553
BC3_ikisi             0.7502       1.000     2.592   0.00933   0.01140        0.818    0.614
R0                    0.4274       0.833     2.289   0.01609   0.01084        1.484    0.634
R1                    0.5534       0.832     2.308   0.01293   0.01036        1.249    0.691
R0_ovh0               0.5519       0.998     2.713   0.01194   0.00908        1.315    0.726
R1_ovh0               0.5858       0.999     2.718   0.01177   0.00924        1.273    0.746
R2                    0.7669       0.833     2.327   0.01259   0.01290        0.976    0.748
BC1_ovh0              0.7510       1.000     2.786   0.01135   0.01041        1.091    0.819
BC7_pay15             0.7478       1.000     2.873   0.01106   0.00979        1.130    0.845
BC5_kitlik            0.8379       1.000     2.808   0.01154   0.01091        1.058    0.886
BC6_kucuk_pay         0.7624       1.000     2.794   0.01006   0.00852        1.182    0.901
BC9_pay3_kit          0.8363       1.000     2.807   0.01071   0.00976        1.096    0.917
BC8_pay15_kit         0.8662       1.000     2.762   0.01073   0.00976        1.099    0.952
BC10_pay1_kit         0.8919       1.000     2.839   0.01214   0.01095        1.109    0.989
