generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_starved,death_predator,predator_strikes,predator_kills,forage_per_capita,share_per_capita,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
0,500,700,700,680.832,740.837,1104.043,403.24,26.684,64.162,0.16959,0.27041,0.23806,700,0.47925,262,212.209,0.0214,0.00573,5898,37049.123,0.0335,0.05479,0.02336,0.03143,0.02013,56784,119301,1.19489,0.00661,4674,29260.297,69,0.02654,0.02203,0.02869,-0.00666,-0.00834,229,629,88,0,0,0,0.062377,0.105855,0.0,0.32248,0.31858,3111,2787,0.5853,0.2762,1.176,0.7183,1.5951,1.2261,0.3556,1.1322,0.9016,0.3473
1,1000,700,700,494.966,266.53,1650.113,328.42,15.067,76.379,0.1688,0.27193,0.23717,700,0.49548,199,149.579,0.0214,0.00847,4468,27443.451,0.02525,0.05812,0.01699,0.04113,0.03221,35545,141379,1.36049,0.00895,4111,25153.433,89,0.02324,0.01584,0.0251,-0.00926,-0.00509,608,608,144,0,0,0,0.039972,0.07841,0.0,0.20091,0.19408,2066,2402,0.5811,0.2795,1.1803,0.7282,1.5853,1.2148,0.3344,1.1269,0.8912,0.3389
2,1500,700,700,628.89,689.425,1345.05,432.37,17.59,39.573,0.16941,0.27255,0.23516,700,0.44136,174,131.754,0.0243,0.00931,4360,27056.741,0.02438,0.05405,0.01542,0.03863,0.03538,41461,137397,1.43677,0.00917,3820,23467.394,95,0.02136,0.01389,0.02361,-0.00972,-0.00794,535,535,189,0,0,0,0.040102,0.077305,0.0,0.23181,0.22459,2241,2119,0.5806,0.2803,1.1825,0.7278,1.5654,1.2149,0.3348,1.1295,0.8943,0.353
3,2000,700,700,514.897,415.698,1419.363,352.04,14.142,47.511,0.17063,0.27473,0.23726,700,0.45546,143,103.71,0.0371,0.0122,3793,23412.11,0.02173,0.05115,0.01346,0.03769,0.03081,38319,136222,1.47768,0.00844,3905,24393.886,106,0.02237,0.01793,0.02362,-0.00569,-0.00394,620,620,138,0,0,0,0.039853,0.066892,0.0,0.21954,0.2099,1960,1833,0.5855,0.274,1.1705,0.7277,1.5693,1.1928,0.3271,1.1365,0.8977,0.3573
4,2500,700,700,664.215,708.84,1355.857,460.92,18.508,43.874,0.17344,0.28015,0.23039,700,0.44817,137,98.675,0.0329,0.01289,3244,19800.409,0.01874,0.05067,0.0112,0.03947,0.03315,33057,140032,1.4283,0.01017,3205,19901.585,85,0.01852,0.02075,0.01799,0.00276,0.00404,483,483,145,0,0,0,0.040168,0.056573,0.0,0.19098,0.18042,1675,1569,0.5829,0.2744,1.1596,0.7323,1.5841,1.1935,0.337,1.1296,0.8922,0.3496
5,3000,700,700,543.752,488.073,1390.142,370.69,15.036,47.152,0.17513,0.28441,0.23281,700,0.49038,124,81.965,0.0414,0.0162,5085,31944.932,0.02938,0.08375,0.01451,0.06924,0.06449,37183,135882,1.42263,0.00826,3288,21210.465,94,0.019,0.01837,0.01917,-0.0008,0.00115,635,635,144,0,0,0,0.039957,0.091271,0.0,0.21485,0.20192,3114,1971,0.5843,0.2793,1.1555,0.7412,1.5834,1.1875,0.331,1.1278,0.8864,0.3464
6,3500,700,700,585.368,588.315,1394.636,403.51,16.266,53.446,0.17658,0.28768,0.23653,700,0.47563,117,75.126,0.0514,0.01834,4490,28309.251,0.02602,0.07545,0.01181,0.06364,0.06254,38530,134023,1.43583,0.00824,4006,26893.523,118,0.02322,0.01625,0.02522,-0.00897,-0.00632,569,569,154,0,0,0,0.039741,0.080884,0.0,0.22329,0.20878,2907,1583,0.5833,0.2661,1.1505,0.7384,1.5686,1.1885,0.3353,1.1349,0.8764,0.3378
7,4000,700,700,535.132,502.987,1378.884,366.18,14.7,43.888,0.18038,0.29246,0.2371,700,0.47258,102,66.702,0.0614,0.02069,4652,28819.05,0.02676,0.06739,0.01328,0.05411,0.05119,43298,130538,1.51786,0.00731,4412,30107.613,154,0.02538,0.01954,0.02732,-0.00778,-0.00543,635,635,153,0,0,0,0.039744,0.08234,0.0,0.24907,0.23321,2918,1734,0.5933,0.274,1.1472,0.7405,1.5886,1.1959,0.3516,1.1173,0.8821,0.3411
8,4500,700,700,627.811,631.739,1429.732,433.92,17.447,50.12,0.18085,0.29507,0.23517,700,0.42138,95,58.7,0.08,0.02621,4390,27690.962,0.02531,0.07074,0.01165,0.0591,0.05712,40104,133353,1.53484,0.01002,3848,27740.618,144,0.02218,0.01728,0.02366,-0.00638,-0.00367,539,539,123,0,0,0,0.040098,0.079117,0.0,0.2312,0.21051,2837,1553,0.5856,0.2758,1.1542,0.747,1.5751,1.2099,0.3429,1.1368,0.8647,0.3404
9,5000,700,700,565.289,534.442,1389.416,386.48,15.63,49.342,0.18323,0.29938,0.23368,700,0.47258,93,50.338,0.1229,0.03498,5063,30823.482,0.02902,0.08754,0.01063,0.07691,0.07349,41718,132722,1.55022,0.01165,3838,26811.5,120,0.022,0.01656,0.02371,-0.00715,-0.00669,636,636,161,0,0,0,0.040033,0.088067,0.0,0.23915,0.21157,3652,1411,0.5921,0.2486,1.1276,0.7436,1.5689,1.2091,0.3393,1.1509,0.8577,0.3213
