generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,bc_ratio,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_starved,death_predator,predator_strikes,predator_kills,forage_per_capita,share_per_capita,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
0,500,700,700,590.188,702.039,1082.266,348.87,22.465,55.478,0.17369,0.29583,0.26062,700,0.56975,230,153.512,0.0486,0.01044,71272,496196.618,0.36599,0.42897,0.3256,0.10336,0.08399,76083,118657,0.95928,0.00784,252,1316.308,3,0.00129,0.00097,0.0015,-0.00053,-0.00053,355,755,299,0,0,0,0.06142,1.417705,0.0,0.39069,0.38426,32637,38635,0.4132,0.1308,1.0102,0.7726,1.6418,1.3191,0.4828,0.9549,0.9387,0.4473
1,1000,700,700,453.456,322.129,1658.76,294.86,12.702,78.649,0.16699,0.28716,0.26231,700,0.63522,131,92.294,0.0429,0.01415,63810,433285.053,0.30968,0.39134,0.26948,0.12187,0.10238,67971,138082,1.053,0.0111,408,2083.442,13,0.00198,0.00197,0.00198,-1e-05,-1e-05,705,705,415,0,0,0,0.040238,1.237957,0.0,0.32987,0.32025,26600,37210,0.4395,0.1496,1.0328,0.7502,1.6704,1.3223,0.4736,0.9678,0.9459,0.4312
2,1500,700,700,567.598,549.031,1450.706,380.15,16.06,51.179,0.16301,0.27519,0.25114,700,0.47502,111,65.389,0.0471,0.0215,56971,399956.192,0.27413,0.40774,0.20309,0.20465,0.20286,72142,135686,1.06623,0.00953,1713,9135.938,45,0.00824,0.00776,0.0085,-0.00074,-0.00051,622,622,337,0,0,0,0.040988,1.142732,0.0,0.34712,0.33278,29415,27556,0.4678,0.1617,1.0347,0.7423,1.6933,1.316,0.4596,0.9972,0.9471,0.42
3,2000,700,700,537.3,474.146,1417.533,358.6,15.006,45.446,0.16882,0.29281,0.24905,700,0.53533,96,56.051,0.0714,0.02573,46584,326185.918,0.23719,0.34623,0.18399,0.16224,0.16211,64400,132002,1.09299,0.0082,2476,13794.786,71,0.01261,0.00717,0.01526,-0.00808,-0.00707,673,673,273,0,0,0,0.040749,0.93196,0.0,0.3279,0.31015,22297,24287,0.4583,0.1581,1.0279,0.7429,1.706,1.318,0.4551,0.9753,0.9415,0.4035
4,2500,700,700,563.706,527.096,1431.612,379.26,15.757,49.005,0.17321,0.30739,0.25366,700,0.57259,82,45.747,0.0914,0.03166,43827,308640.94,0.21765,0.37118,0.14608,0.2251,0.22913,64020,137348,1.09215,0.00771,3654,20719.039,114,0.01815,0.00984,0.02202,-0.01218,-0.01145,661,661,288,0,0,0,0.04045,0.881831,0.0,0.31793,0.29562,23763,20064,0.444,0.1685,1.0227,0.731,1.6924,1.3074,0.4576,0.9507,0.9397,0.3919
5,3000,700,700,531.954,500.121,1406.924,357.42,14.769,45.352,0.17657,0.30705,0.25601,700,0.64072,71,36.298,0.0771,0.03825,44584,320022.641,0.21666,0.36693,0.12634,0.24058,0.24847,77250,128533,1.09447,0.00926,4095,24657.723,125,0.0199,0.01196,0.02467,-0.01271,-0.01279,709,709,279,0,0,0,0.040572,0.91435,0.0,0.3754,0.35055,28345,16239,0.4542,0.1583,1.0127,0.7261,1.7061,1.3157,0.4349,0.931,0.9343,0.3866
6,3500,700,700,559.967,504.067,1509.33,375.76,15.94,56.258,0.17047,0.29484,0.25418,700,0.5805,60,31.675,0.0957,0.04397,48931,360101.26,0.24405,0.4504,0.10932,0.34108,0.34973,79199,121293,1.0859,0.00781,4003,26246.087,138,0.01997,0.0101,0.02641,-0.01631,-0.01596,685,685,294,0,0,0,0.040901,1.028861,0.0,0.39502,0.3672,35671,13260,0.4702,0.1655,1.0417,0.7136,1.7334,1.3145,0.4293,0.9562,0.932,0.3897
7,4000,700,700,553.98,521.683,1435.474,372.52,15.353,49.877,0.18135,0.32913,0.25577,700,0.68625,49,25.128,0.1429,0.06193,40241,289704.889,0.20149,0.34786,0.10822,0.23965,0.24619,77735,121979,1.12044,0.00808,5307,32700.372,165,0.02657,0.01716,0.03257,-0.01541,-0.01531,701,701,275,0,0,0,0.040291,0.827728,0.0,0.38923,0.34891,27041,13200,0.4272,0.1576,1.0206,0.7304,1.7122,1.3202,0.4468,0.8929,0.9292,0.38
8,4500,700,700,530.765,467.361,1515.172,356.49,14.892,58.324,0.17011,0.30139,0.26352,700,0.53485,54,24.679,0.12,0.05781,61273,460969.9,0.30467,0.5197,0.11796,0.40174,0.41254,93469,107641,1.07904,0.0071,5266,32228.916,132,0.02618,0.01433,0.03648,-0.02216,-0.02213,706,706,293,0,0,0,0.0403,1.317057,0.0,0.46477,0.43193,48576,12697,0.4642,0.1653,1.0522,0.7254,1.7429,1.3171,0.4314,0.9478,0.9348,0.3897
9,5000,700,700,584.538,536.946,1419.018,396.25,15.851,56.582,0.19944,0.37419,0.29024,700,0.86464,48,17.366,0.3114,0.12457,68155,521735.345,0.33985,0.6217,0.09319,0.52852,0.53619,93596,106948,1.10911,0.00574,5018,31799.719,137,0.02502,0.00918,0.03889,-0.02971,-0.02936,619,619,230,0,0,0,0.03998,1.490672,0.0,0.46671,0.39083,58189,9966,0.343,0.1426,0.9693,0.7591,1.6515,1.3147,0.4708,0.7425,0.9313,0.3625
