generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,genetic_r,genetic_r_pairs,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,recip_bias,recip_bias_adj,retal_bias_adj,opp_ledger_pos,opp_ledger_neg,ledger_pos_share,bc_ratio,bc_ratio_fit,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_starved,death_old_age,death_predator,predator_strikes,predator_kills,repro_blocked,forage_per_capita,share_per_capita,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
0,500,619,619,520.091,508.266,878.625,386.33,13.915,41.0,0.22737,0.35713,0.13894,619,0.42592,218,174.286,0.0145,0.00685,0.11055,244,3955,24037.996,0.00936,0.019,0.00273,0.01626,0.01655,172127,250624,0.00833,0.00963,0.04537,36915,13401,0.08732,0.82527,2.17657,0.01643,6353,44182.178,397,0.01503,0.01175,0.01728,-0.00552,-0.00683,1754,2073,1141,0,0,0,0,0,0.074163,0.077667,0.0,0.40716,0.40307,3270,685,0.5221,0.214,1.4808,0.7358,1.8676,1.4909,0.2816,1.1144,0.8158,0.3665
1,1000,848,848,404.679,295.925,1524.311,274.33,11.426,57.026,0.23213,0.36902,0.20979,848,0.40832,166,125.803,0.0248,0.00968,0.3163,443,1498,8969.316,0.00975,0.01994,0.00314,0.01679,0.0156,60446,93170,0.00869,0.01185,0.06429,12989,8312,0.08455,0.83304,2.28669,0.03271,4441,32127.638,266,0.02891,0.02161,0.03365,-0.01204,-0.01198,735,964,218,138,0,0,0,0,0.032393,0.021154,0.0,0.39349,0.38756,1205,293,0.521,0.2205,1.4747,0.7266,1.8755,1.4851,0.2658,1.1215,0.8126,0.3719
2,1500,750,750,565.696,583.448,1255.169,405.32,15.271,35.146,0.23592,0.37662,0.21179,750,0.42078,140,97.107,0.036,0.01316,0.25291,383,1390,8437.0,0.00741,0.01972,0.00204,0.01768,0.01646,56941,130580,0.01934,0.02029,0.05157,12572,10452,0.06704,0.83493,2.31189,0.02518,5512,41483.289,361,0.02939,0.02353,0.03195,-0.00842,-0.00674,815,717,196,121,0,0,0,0,0.03632,0.022499,0.0,0.30365,0.29437,1123,267,0.5212,0.2277,1.4701,0.7271,1.8699,1.4638,0.2512,1.1241,0.8063,0.379
3,2000,730,730,424.777,338.761,1353.313,290.07,11.853,39.594,0.24357,0.39047,0.24161,730,0.4673,100,66.827,0.063,0.0202,0.36311,408,1481,9120.812,0.0096,0.02142,0.00339,0.01803,0.01586,53120,101193,0.00722,0.00969,0.0598,12124,11653,0.07857,0.83692,2.30396,0.00608,6173,48500.639,410,0.04,0.03345,0.04344,-0.00999,-0.0078,894,874,133,253,0,0,0,0,0.037058,0.024989,0.0,0.34424,0.33072,1138,343,0.5252,0.2181,1.4336,0.7106,1.8623,1.4393,0.2348,1.1377,0.7988,0.3901
4,2500,711,711,497.713,461.176,1315.651,350.43,13.667,40.992,0.24775,0.39811,0.22154,711,0.40456,87,54.596,0.0816,0.02544,0.39265,327,1748,10746.939,0.01003,0.02187,0.00294,0.01892,0.0169,65264,109031,0.02084,0.02235,0.05734,13323,13497,0.07644,0.83669,2.30453,0.0246,6912,53802.734,439,0.03966,0.03388,0.04312,-0.00924,-0.00823,875,856,202,139,0,0,0,0,0.03962,0.03023,0.0,0.37445,0.35812,1427,321,0.5363,0.2107,1.4259,0.6897,1.8546,1.4259,0.2324,1.1329,0.798,0.398
5,3000,671,671,438.473,365.986,1342.104,300.91,12.313,43.184,0.24147,0.39167,0.24443,671,0.46219,72,41.931,0.155,0.04188,0.35759,312,1509,9256.569,0.01003,0.0195,0.00333,0.01617,0.014,62362,88066,0.00848,0.01123,0.05865,11705,14526,0.07781,0.83638,2.286,0.00729,7579,59638.357,470,0.05038,0.04342,0.05531,-0.01189,-0.00913,932,892,164,186,0,0,0,0,0.040627,0.02759,0.0,0.41456,0.38897,1216,293,0.5201,0.2234,1.4373,0.6526,1.8889,1.4421,0.2097,1.1193,0.8187,0.4093
6,3500,693,693,475.518,414.275,1385.229,333.71,13.049,42.455,0.23852,0.38941,0.22385,693,0.39505,64,36.765,0.1356,0.04275,0.41734,324,1743,10638.071,0.01049,0.01859,0.00316,0.01542,0.01339,78930,87251,0.01048,0.0131,0.08897,13624,14696,0.08198,0.83569,2.2796,0.03041,7810,60983.391,503,0.047,0.04091,0.0525,-0.01159,-0.01077,911,933,185,131,0,0,0,0,0.0408,0.030702,0.0,0.47496,0.45152,1467,276,0.4872,0.2307,1.4556,0.647,1.8988,1.471,0.212,1.1109,0.8322,0.4312
7,4000,714,714,458.341,379.772,1395.416,317.42,12.786,44.367,0.22667,0.38337,0.2362,714,0.41005,61,26.185,0.1527,0.06768,0.43448,335,1934,11925.065,0.01252,0.01998,0.00493,0.01505,0.01326,77926,76488,0.01883,0.02193,0.07426,13889,14840,0.08995,0.83709,2.31463,0.02689,7520,56341.747,444,0.0487,0.03612,0.06151,-0.02539,-0.02529,870,891,177,154,0,0,0,0,0.038575,0.033404,0.0,0.50466,0.4687,1557,377,0.4383,0.2339,1.4391,0.658,1.9101,1.5031,0.1852,1.1024,0.8378,0.467
8,4500,733,733,488.13,439.208,1358.384,341.01,13.5,47.811,0.2315,0.38849,0.22228,733,0.41825,49,19.128,0.1937,0.08643,0.46368,342,2092,12748.861,0.01266,0.01948,0.00376,0.01572,0.01386,93517,71724,0.02141,0.02439,0.068,16804,14949,0.10169,0.83548,2.32742,0.04254,7125,53920.706,428,0.04312,0.03076,0.05923,-0.02846,-0.02846,841,860,183,141,0,0,0,0,0.038531,0.034785,0.0,0.56594,0.52488,1822,270,0.4299,0.2341,1.4188,0.6827,1.8875,1.4745,0.1765,1.1199,0.8229,0.4934
9,5000,691,691,475.542,404.284,1362.254,331.37,13.096,40.154,0.21836,0.37659,0.23361,691,0.35926,35,13.989,0.2446,0.12005,0.48034,318,2158,13149.159,0.0132,0.0181,0.00573,0.01237,0.01072,98749,64774,0.00587,0.00835,0.06945,15896,14124,0.09721,0.83546,2.27261,0.01344,7045,54359.768,453,0.04308,0.03302,0.05842,-0.0254,-0.02513,890,848,173,193,0,0,0,0,0.039878,0.038058,0.0,0.60388,0.54984,1787,371,0.431,0.2391,1.4124,0.667,1.8896,1.5156,0.1769,1.0766,0.8362,0.5153
