generation,step,pool,survivors,mean_fitness,median_fitness,max_fitness,mean_age,mean_food_eaten,best_food_eaten,behavior_diversity,weight_diversity,food_fill,population,clustering,lineage_count,lineage_effective,lineage_largest,kin_expected,genetic_r,genetic_r_pairs,share_events,share_energy,cooperation_rate,coop_in_group,coop_out_group,kin_bias,kin_bias_adj,opp_kin,opp_nonkin,recip_bias,recip_bias_adj,retal_bias_adj,opp_ledger_pos,opp_ledger_neg,ledger_pos_share,bc_ratio,bc_ratio_fit,rescue_share,attack_events,attack_damage,attack_kills,hostility_rate,attack_in_group,attack_out_group,attack_kin_bias,attack_kin_bias_adj,deaths,births,death_starved,death_old_age,death_predator,predator_strikes,predator_kills,repro_blocked,forage_per_capita,share_per_capita,predation_risk,kin_observed,kin_assortment,share_kin,share_nonkin,gp_crowd_bias,gp_eat_threshold,gp_food_attraction,gp_graze_slowdown,gp_hazard_avoidance,gp_hunger_gain,gp_hunger_speed,gp_panic_speed,gp_speed_pref,gp_wander
0,500,610,610,527.257,507.103,920.101,390.45,14.348,46.296,0.22317,0.34756,0.1376,610,0.41995,217,168.851,0.0197,0.00741,0.09685,271,4150,24988.0,0.00961,0.01915,0.00333,0.01582,0.01614,171479,260365,0.0139,0.01534,0.05758,34001,12626,0.07873,0.82405,2.19355,0.02819,5444,36598.165,344,0.01261,0.01064,0.0139,-0.00327,-0.00401,1751,2061,1168,0,0,0,0,0,0.075227,0.081928,0.0,0.39709,0.39258,3283,867,0.517,0.2156,1.4901,0.7198,1.8817,1.5229,0.2887,1.1093,0.8252,0.3788
1,1000,875,875,445.908,311.266,1586.425,309.36,12.338,65.591,0.22578,0.35714,0.20207,875,0.36777,163,112.025,0.0377,0.01202,0.32889,489,1664,10016.176,0.01041,0.02239,0.00329,0.0191,0.01802,59581,100290,0.01716,0.01904,0.05145,14001,8648,0.08758,0.83187,2.27636,0.00962,3035,21125.524,165,0.01898,0.0171,0.0201,-0.003,-0.00283,597,862,189,136,0,0,0,0,0.031341,0.022894,0.0,0.37268,0.36505,1334,330,0.5359,0.2257,1.4723,0.6986,1.8912,1.5044,0.2811,1.1218,0.8199,0.4006
2,1500,788,788,573.993,604.095,1288.605,412.13,15.386,45.318,0.23721,0.3676,0.21097,788,0.43147,128,86.756,0.047,0.01582,0.2406,425,1357,8234.118,0.00719,0.01677,0.00311,0.01366,0.01251,56413,132301,0.01911,0.01972,0.0491,12210,11386,0.0647,0.83489,2.28604,0.028,4345,31352.932,254,0.02302,0.01728,0.02547,-0.00819,-0.00833,708,621,172,165,0,0,0,0,0.03418,0.020899,0.0,0.29893,0.28766,946,411,0.5511,0.2235,1.4465,0.6814,1.8854,1.5001,0.2943,1.1261,0.8048,0.395
3,2000,747,747,466.102,392.173,1369.897,326.59,12.576,45.048,0.25114,0.38732,0.22869,747,0.43608,102,65.752,0.0669,0.02149,0.37172,395,1269,7608.378,0.00717,0.01466,0.00343,0.01123,0.01005,59023,117897,0.0067,0.00779,0.03581,11846,10948,0.06696,0.83323,2.2586,0.0063,3904,27824.067,199,0.02207,0.01711,0.02455,-0.00743,-0.00627,786,745,165,295,0,0,0,0,0.0362,0.02037,0.0,0.33361,0.31898,865,404,0.5981,0.2088,1.4115,0.6921,1.8769,1.4721,0.318,1.1192,0.7811,0.3773
4,2500,696,696,542.192,527.567,1326.386,390.21,14.325,38.898,0.25576,0.39146,0.21603,696,0.47121,91,57.408,0.0833,0.02609,0.27142,367,1150,6970.732,0.00601,0.01376,0.00211,0.01164,0.01064,64031,127217,0.00728,0.00811,0.0329,11995,11853,0.06272,0.83475,2.30814,0.01217,4837,34985.472,264,0.02529,0.0214,0.02725,-0.00586,-0.00466,729,678,142,196,0,0,0,0,0.039697,0.020031,0.0,0.33481,0.31699,881,269,0.5782,0.2133,1.4317,0.6722,1.8981,1.4661,0.2991,1.124,0.7734,0.3986
5,3000,731,731,458.489,402.497,1330.696,320.79,12.48,36.716,0.2531,0.3921,0.22873,731,0.42007,78,47.903,0.0876,0.0303,0.34182,391,1660,10011.661,0.00963,0.01966,0.0033,0.01636,0.01497,66681,105750,0.02281,0.0244,0.04028,12990,13606,0.07533,0.83405,2.31191,0.02952,5570,40147.071,306,0.0323,0.02674,0.03581,-0.00907,-0.00723,767,802,133,219,0,0,0,0,0.037443,0.027392,0.0,0.38671,0.36755,1311,349,0.5742,0.2089,1.4486,0.6592,1.9132,1.4747,0.2975,1.1108,0.7852,0.418
6,3500,684,684,518.707,469.923,1357.587,367.66,14.034,43.613,0.24535,0.37476,0.21671,684,0.38817,68,36.069,0.114,0.04449,0.31771,307,1596,9649.579,0.00928,0.02012,0.00248,0.01764,0.01668,66316,105679,0.02201,0.02347,0.04245,11467,13989,0.06667,0.83439,2.31617,0.03571,6536,48751.369,387,0.038,0.02877,0.04379,-0.01502,-0.01393,809,762,153,171,0,0,0,0,0.040838,0.028215,0.0,0.38557,0.35696,1334,262,0.5372,0.2285,1.4869,0.6207,1.944,1.5357,0.3099,1.0885,0.8194,0.478
7,4000,731,731,453.285,369.01,1299.481,314.83,12.483,36.404,0.23985,0.37063,0.22096,731,0.45282,56,27.623,0.1368,0.05958,0.44083,367,1808,11166.65,0.01079,0.01871,0.00296,0.01575,0.01443,83259,84369,0.02455,0.02655,0.05423,13938,14425,0.08315,0.83732,2.29293,0.01604,6602,49523.661,395,0.03938,0.02325,0.0553,-0.03205,-0.03201,827,874,149,185,0,0,0,0,0.038065,0.030552,0.0,0.49669,0.4648,1558,250,0.5056,0.2344,1.5144,0.5887,1.9465,1.5574,0.3049,1.0924,0.8268,0.5061
8,4500,677,677,501.69,450.652,1338.668,353.09,13.651,40.395,0.22378,0.35454,0.22794,677,0.45039,54,20.827,0.2112,0.08935,0.4474,314,1761,10812.757,0.01059,0.01871,0.00289,0.01581,0.01454,80936,85409,0.01076,0.0121,0.04733,13733,14695,0.08256,0.83652,2.27293,0.01249,6813,52398.136,462,0.04096,0.02624,0.0549,-0.02866,-0.02802,853,799,149,158,0,0,0,0,0.040238,0.031943,0.0,0.48656,0.43618,1514,247,0.5024,0.253,1.5412,0.5451,1.9642,1.5756,0.2636,1.0783,0.8693,0.5396
9,5000,683,683,477.405,409.121,1332.305,332.96,13.219,37.229,0.21889,0.34526,0.23664,683,0.42722,40,14.542,0.2284,0.11762,0.54554,333,1751,10706.443,0.01073,0.01623,0.0031,0.01313,0.01138,94801,68394,0.00814,0.00988,0.04502,13747,16681,0.08424,0.83594,2.28688,0.02856,7582,60308.241,482,0.04646,0.02946,0.07002,-0.04056,-0.03958,864,870,144,162,0,0,0,0,0.040259,0.031351,0.0,0.58091,0.52504,1539,212,0.4714,0.2725,1.5679,0.5146,1.9856,1.6006,0.2586,1.0606,0.8911,0.5458
